id,key,interpolations,is_proc,created_at,updated_at,locale,value,is_html,complete,is_list
2699,TripsDetailsReport,,false,,,es,Informe de los Detalles del Viaje,false,false,false
69,date_option_next_7_days_name,,false,2014-07-09 08:28:40.797152,2014-07-09 08:28:40.797152,en,Next 7 Days,false,false,false
2700,TripsScheduledByDayReport,,false,,,es,Informe del Horario de Viajes,false,false,false
71,date_option_last_30_days_name,,false,2014-07-09 08:28:40.835276,2014-07-09 08:28:40.835276,en,Last 30 Days,false,false,false
2701,mode_car_transit_name,,false,,,es,Un Beso y Viajo,false,false,false
73,date_option_next_30_days_name,,false,2014-07-09 08:28:40.868897,2014-07-09 08:28:40.868897,en,Next 30 Days,false,false,false
2702,driver_assistance_available_name,,false,,,es,Asistencia disponible del conductor.,false,false,false
75,date_option_last_month_name,,false,2014-07-09 08:28:40.902411,2014-07-09 08:28:40.902411,en,Last Month,false,false,false
2703,curb_to_curb_name,,false,,,es,De acera a acera,false,false,false
2704,age_name,,false,,,es,La edad es,false,false,false
2705,door_to_door_name,,false,,,es,Puerta a Puerta,false,false,false
2706,age_note,,false,,,es,¿Cuál es su año de nacimiento?,false,false,false
2707,age_desc,,false,,,es,"Usted debe tener 65 años o más para utilizar este servicio. Por favor, confirme su año de nacimiento.",false,false,false
2708,ada_eligible_note,,false,,,es,¿Es elegible para ADA Servicios Especiales?,false,false,false
2709,date_of_birth_name,,false,,,es,Año de nacimiento,false,false,false
2710,date_of_birth_note,,false,,,es,¿Cuál es su año de nacimiento?,false,false,false
2711,date_option_last_month_name,,false,,,es,Último mes,false,false,false
77,date_option_next_month_name,,false,2014-07-09 08:28:40.93724,2014-07-09 08:28:40.93724,en,Next Month,false,false,false
2712,disabled_name,,false,,,es,Es Discapacitado,false,false,false
79,disabled_name,,false,2014-07-09 08:28:41.016166,2014-07-09 08:28:41.016166,en,Disabled,false,false,false
2713,date_option_next_month_name,,false,,,es,Próximo mes,false,false,false
81,disabled_note,,false,2014-07-09 08:28:41.050533,2014-07-09 08:28:41.050533,en,Do you have a permanent or temporary disability?,false,false,false
2714,disabled_note,,false,,,es,¿Tiene una discapacidad permanente o temporal?,false,false,false
83,ada_eligible_name,,false,2014-07-09 08:28:41.100014,2014-07-09 08:28:41.100014,en,ADA Paratransit,false,false,false
2715,walk_distance_name,,false,,,es,Distancia caminando,false,false,false
85,ada_eligible_note,,false,2014-07-09 08:28:41.125359,2014-07-09 08:28:41.125359,en,Are you eligible for ADA paratransit?,false,false,false
2716,door_to_door_note,,false,,,es,¿Necesita ayuda hasta su puerta?,false,false,false
87,matp_name,,false,2014-07-09 08:28:41.162791,2014-07-09 08:28:41.162791,en,Medical Assistance Transportation Program,false,false,false
2717,driver_assistance_available_note,,false,,,es,¿Necesita asistencia personal del conductor?,false,false,false
89,matp_note,,false,2014-07-09 08:28:41.187825,2014-07-09 08:28:41.187825,en,Do you have a Medical Assistance Access Card?,false,false,false
2718,folding_wheelchair_accessible_name,,false,,,es,Silla de ruedas plegable accesible.,false,false,false
91,veteran_name,,false,2014-07-09 08:28:41.222524,2014-07-09 08:28:41.222524,en,Veteran,false,false,false
2719,folding_wheelchair_accessible_note,,false,,,es,¿Necesita un vehículo que dispone de espacio para una silla de ruedas plegable?,false,false,false
93,veteran_note,,false,2014-07-09 08:28:41.247225,2014-07-09 08:28:41.247225,en,Are you a military veteran?,false,false,false
2720,lift_equipped_name,,false,,,es,Vehículo Equipado con ascensor para silla de ruedas.,false,false,false
95,date_of_birth_name,,false,2014-07-09 08:28:41.282564,2014-07-09 08:28:41.282564,en,Date of Birth,false,false,false
2721,lift_equipped_note,,false,,,es,¿Necesita un vehículo con un ascensor?,false,false,false
97,date_of_birth_note,,false,2014-07-09 08:28:41.306829,2014-07-09 08:28:41.306829,en,What is your birth year?,false,false,false
2722,low_income_name,,false,,,es,Es de bajos ingresos,false,false,false
99,age_name,,false,2014-07-09 08:28:41.341306,2014-07-09 08:28:41.341306,en,Age is,false,false,false
2723,low_income_note,,false,,,es,¿Usted recibe bajos ingresos?,false,false,false
101,age_note,,false,2014-07-09 08:28:41.36488,2014-07-09 08:28:41.36488,en,What is your birth year?,false,false,false
2724,motorized_wheelchair_accessible_name,,false,,,es,Accesible para una silla de ruedas motorizada.,false,false,false
103,age_desc,,false,2014-07-09 08:28:41.39073,2014-07-09 08:28:41.39073,en,You must be 65 or older to use this service. Please confirm your birth year.,false,false,false
2725,motorized_wheelchair_accessible_note,,false,,,es,¿Necesita un vehículo que disponga de espacio para una silla de ruedas motorizada?,false,false,false
105,walk_distance_name,,false,2014-07-09 08:28:41.44382,2014-07-09 08:28:41.44382,en,Walk distance,false,false,false
2726,nemt_eligible_name,,false,,,es,Tiene Medicaid,false,false,false
107,walk_distance_note,,false,2014-07-09 08:28:41.471466,2014-07-09 08:28:41.471466,en,"Are you able to comfortably walk for 5, 10, 15, 20, 25, 30 minutes?",false,false,false
2727,nemt_eligible_note,,false,,,es,¿Es elegible para Medicaid?,false,false,false
109,folding_wheelchair_accessible_name,,false,2014-07-09 08:28:41.520579,2014-07-09 08:28:41.520579,en,Folding wheelchair accessible.,false,false,false
2728,no_trans_name,,false,,,es,No Tiene Medios de Transporte,false,false,false
111,folding_wheelchair_accessible_note,,false,2014-07-09 08:28:41.544232,2014-07-09 08:28:41.544232,en,Do you need a vehicle that has space for a folding wheelchair?,false,false,false
2729,no_trans_note,,false,,,es,¿Usted posee o tiene acceso a un vehículo personal?,false,false,false
113,motorized_wheelchair_accessible_name,,false,2014-07-09 08:28:41.587957,2014-07-09 08:28:41.587957,en,Motorized wheelchair accessible.,false,false,false
2730,veteran_name,,false,,,es,Es un Veterano,false,false,false
115,motorized_wheelchair_accessible_note,,false,2014-07-09 08:28:41.611874,2014-07-09 08:28:41.611874,en,Do you need a vehicle than has space for a motorized wheelchair?,false,false,false
2731,veteran_note,,false,,,es,¿Es usted un veterano militar?,false,false,false
117,curb_to_curb_name,,false,2014-07-09 08:28:41.644815,2014-07-09 08:28:41.644815,en,Curb-to-curb,false,false,false
2732,walk_distance_note,,false,,,es,"¿Es capaz de caminar cómodamente durante 5, 10, 15, 20, 25, 30 minutos?",false,false,false
119,curb_to_curb_note,,false,2014-07-09 08:28:41.668027,2014-07-09 08:28:41.668027,en,Do you need delivery to the curb in front of your home?,false,false,false
2733,ada_eligible_name,,false,,,es,¿Tiene un ADA para Servicios Especiales?,false,false,false
121,paratransit_name,,false,2014-07-09 08:28:41.710542,2014-07-09 08:28:41.710542,en,Paratransit,false,false,false
2734,taxi_name,,false,,,es,Taxi,false,false,false
123,paratransit_note,,false,2014-07-09 08:28:41.733706,2014-07-09 08:28:41.733706,en,This is a general purpose paratransit service.,false,false,false
2735,companion_allowed_note,,false,,,es,¿Usted viaja con un acompañante?,false,false,false
125,volunteer_name,,false,2014-07-09 08:28:41.774714,2014-07-09 08:28:41.774714,en,Volunteer,false,false,false
2736,companion_allowed_name,,false,,,es,Compañero de Viaje Permitido,false,false,false
127,volunteer_note,,false,2014-07-09 08:28:41.799197,2014-07-09 08:28:41.799197,en,This is a volunteer service,false,false,false
2737,cancer_name,,false,,,es,Tratamiento del Cáncer,false,false,false
129,nemt_name,,false,2014-07-09 08:28:41.838722,2014-07-09 08:28:41.838722,en,Non-Emergency Medical Service,false,false,false
2738,medical_note,,false,,,es,Viaje a un médico general,false,false,false
131,nemt_note,,false,2014-07-09 08:28:41.861852,2014-07-09 08:28:41.861852,en,This is a paratransit service only to be used for medical trips.,false,false,false
2739,dialysis_name,,false,,,es,Diálisis,false,false,false
133,transit_name,,false,2014-07-09 08:28:41.895682,2014-07-09 08:28:41.895682,en,Fixed-route Transit,false,false,false
2740,dialysis_note,,false,,,es,Cita de diálisis.,false,false,false
135,transit_note,,false,2014-07-09 08:28:41.919229,2014-07-09 08:28:41.919229,en,This is a transit service.,false,false,false
2741,general_name,,false,,,es,Propósito General,false,false,false
137,taxi_name,,false,2014-07-09 08:28:41.953045,2014-07-09 08:28:41.953045,en,Taxi,false,false,false
2742,general_note,,false,,,es,Propósito general/objetivo no especificado.,false,false,false
139,taxi_note,,false,2014-07-09 08:28:41.976733,2014-07-09 08:28:41.976733,en,Taxi services.,false,false,false
2743,grocery_name,,false,,,es,Viaje al supermercado,false,false,false
141,adult_day_care_name,,false,2014-07-09 08:28:42.029841,2014-07-09 08:28:42.029841,en,Adult Day Care,false,false,false
2744,grocery_note,,false,,,es,Viaje de compras al supermercado,false,false,false
2745,medical_name,,false,,,es,Médico,false,false,false
2746,paratransit_name,,false,,,es,Servicios Especializados,false,false,false
2747,nemt_name,,false,,,es,Servicio médico no de emergencia,false,false,false
2748,nemt_note,,false,,,es,Este es un servicio de transporte sólo para ser utilizado para los viajes médicos.,false,false,false
2749,taxi_note,,false,,,es,Servicios de Taxi.,false,false,false
2750,rideshare_name,,false,,,es,Viaje compartido,false,false,false
2751,personal_name,,false,,,es,Encargo Personal,false,false,false
2752,personal_note,,false,,,es,Encargo personal/viaje de compras.,false,false,false
143,adult_day_care_note,,false,2014-07-09 08:28:42.053581,2014-07-09 08:28:42.053581,en,Adult Day Care,false,false,false
